iter	Passed	Remaining
1389	100238	116103
1390	100307	116027
1391	100361	115934
1392	100434	115863
1393	100534	115824
1394	100623	115770
1395	100697	115701
1396	100772	115631
1397	100858	115575
1398	100942	115517
1399	101024	115457
1400	101107	115396
1401	101175	115319
1402	101251	115251
1403	101318	115173
1404	101390	115101
1405	101458	115024
1406	101529	114951
1407	101593	114869
1408	101642	114772
1409	101723	114709
1410	101807	114651
1411	101867	114564
1412	101949	114503
1413	102040	114452
1414	102132	114403
1415	102203	114329
1416	102289	114272
1417	102382	114223
1418	102463	114160
1419	102550	114105
1420	102635	114047
1421	102695	113961
1422	102752	113873
1423	102825	113801
1424	102924	113758
1425	102988	113677
1426	103055	113599
1427	103108	113505
1428	103166	113417
1429	103241	113349
1430	103335	113300
1431	103418	113240
1432	103483	113160
1433	103576	113110
1434	103658	113048
1435	103741	112988
1436	103828	112932
1437	103883	112841
1438	103968	112783
1439	104051	112722
1440	104137	112664
1441	104192	112574
1442	104249	112485
1443	104332	112424
1444	104412	112360
1445	104491	112296
1446	104571	112231
1447	104665	112182
1448	104739	112112
1449	104820	112048
1450	104894	111979
1451	104970	111910
1452	105044	111839
1453	105138	111791
1454	105226	111735
1455	105309	111674
1456	105390	111611
1457	105464	111540
1458	105554	111486
1459	105614	111401
1460	105677	111318
1461	105755	111252
1462	105834	111188
1463	105922	111131
1464	105993	111058
1465	106066	110985
1466	106140	110915
1467	106207	110838
1468	106285	110771
1469	106340	110681
1470	106415	110611
1471	106499	110551
1472	106575	110482
1473	106649	110412
1474	106727	110345
1475	106810	110284
1476	106893	110222
1477	106982	110167
1478	107069	110109
1479	107152	110048
1480	107226	109977
1481	107319	109926
1482	107411	109874
1483	107495	109812
1484	107573	109747
1485	107647	109676
1486	107717	109600
1487	107789	109527
1488	107876	109470
1489	107959	109409
1490	108027	109331
1491	108115	109274
1492	108203	109218
1493	108288	109157
1494	108344	109068
1495	108425	109005
1496	108505	108940
1497	108573	108863
1498	108633	108778
1499	108732	108732
1500	108807	108662
1501	108885	108595
1502	108982	108547
1503	109068	108488
1504	109142	108416
1505	109207	108337
1506	109267	108252
1507	109340	108180
1508	109420	108115
1509	109491	108041
1510	109560	107965
1511	109641	107901
1512	109712	107827
1513	109805	107775
1514	109888	107712
1515	109958	107637
1516	110016	107550
1517	110088	107478
1518	110162	107406
1519	110236	107335
1520	110319	107272
1521	110391	107200
1522	110470	107133
1523	110526	107045
1524	110592	106966
1525	110644	106874
1526	110700	106785
1527	110783	106723
1528	110850	106645
1529	110909	106560
1530	110986	106491
1531	111074	106433
1532	111133	106349
1533	111220	106290
1534	111313	106237
